Tue Sep  2 20:36:40 2025,75.0,74
Tue Sep  2 20:36:42 2025,75.0,74
Tue Sep  2 20:36:44 2025,75.0,74
Tue Sep  2 20:36:46 2025,75.0,74
Tue Sep  2 20:36:48 2025,75.0,74
Tue Sep  2 20:36:50 2025,75.0,74
Tue Sep  2 20:36:52 2025,75.0,74
Tue Sep  2 20:36:54 2025,75.0,74
Tue Sep  2 21:00:05 2025,75.0,74
Tue Sep  2 21:00:07 2025,75.0,74
Tue Sep  2 21:00:10 2025,75.0,74
Tue Sep  2 21:00:12 2025,75.0,74
Tue Sep  2 21:00:14 2025,75.0,74
Tue Sep  2 21:00:16 2025,75.0,74
Tue Sep  2 21:00:18 2025,75.0,74
Tue Sep  2 21:00:20 2025,75.0,74
Tue Sep  2 21:00:22 2025,75.0,74
Tue Sep  2 21:00:24 2025,75.0,74
Tue Sep  2 21:00:26 2025,75.0,74
Tue Sep  2 21:00:28 2025,75.0,74
Tue Sep  2 21:00:30 2025,75.0,74
Tue Sep  2 21:00:32 2025,75.0,74
Tue Sep  2 21:00:34 2025,75.0,74
Tue Sep  2 21:30:01 2025,75.7,65
Tue Sep  2 21:30:03 2025,75.7,65
Tue Sep  2 21:30:05 2025,75.7,65
Tue Sep  2 21:30:07 2025,75.7,65
Tue Sep  2 21:30:09 2025,75.7,65
Tue Sep  2 21:30:11 2025,75.7,65
Tue Sep  2 21:30:13 2025,75.7,65
Tue Sep  2 21:30:15 2025,75.7,65
Tue Sep  2 21:30:17 2025,75.7,65
Tue Sep  2 21:30:19 2025,75.7,65
Tue Sep  2 21:30:21 2025,75.7,65
Tue Sep  2 21:30:24 2025,75.7,65
Tue Sep  2 21:30:26 2025,75.7,65
Tue Sep  2 21:30:28 2025,75.7,65
Tue Sep  2 21:30:30 2025,75.7,65
Tue Sep  2 22:00:04 2025,81.0,60
Tue Sep  2 22:00:06 2025,81.0,60
Tue Sep  2 22:00:08 2025,81.0,60
Tue Sep  2 22:00:10 2025,81.0,60
Tue Sep  2 22:00:12 2025,81.0,60
Tue Sep  2 22:00:14 2025,81.0,60
Tue Sep  2 22:00:16 2025,81.0,60
Tue Sep  2 22:00:18 2025,81.0,60
Tue Sep  2 22:00:20 2025,81.0,60
Tue Sep  2 22:00:22 2025,81.0,60
Tue Sep  2 22:00:24 2025,81.0,60
Tue Sep  2 22:00:26 2025,81.0,60
Tue Sep  2 22:00:28 2025,81.0,60
Tue Sep  2 22:00:30 2025,81.0,60
Tue Sep  2 22:00:32 2025,81.0,60
Tue Sep  2 22:27:26 2025,72.2,84
Tue Sep  2 22:27:28 2025,72.2,84
Tue Sep  2 22:27:30 2025,72.2,84
Tue Sep  2 22:27:32 2025,72.2,84
Tue Sep  2 22:27:34 2025,72.2,84
Tue Sep  2 22:27:36 2025,72.2,84
Tue Sep  2 22:27:50 2025,72.2,84
Tue Sep  2 22:27:52 2025,72.2,84
Tue Sep  2 22:27:54 2025,72.2,84
Tue Sep  2 22:27:56 2025,72.2,84
Tue Sep  2 22:27:58 2025,72.2,84
Tue Sep  2 22:28:00 2025,72.2,84
Tue Sep  2 22:28:02 2025,72.2,84
Tue Sep  2 22:28:04 2025,72.2,84
Tue Sep  2 22:30:01 2025,72.2,84
Tue Sep  2 22:30:03 2025,72.2,84
Tue Sep  2 22:30:05 2025,72.2,84
Tue Sep  2 22:30:07 2025,72.2,84
Tue Sep  2 22:30:09 2025,72.2,84
Tue Sep  2 22:30:11 2025,72.2,84
Tue Sep  2 22:30:13 2025,72.2,84
Tue Sep  2 22:30:15 2025,72.2,84
Tue Sep  2 22:30:17 2025,72.2,84
Tue Sep  2 22:30:19 2025,72.2,84
Tue Sep  2 22:30:21 2025,72.2,84
Tue Sep  2 22:30:23 2025,72.2,84
Tue Sep  2 22:30:25 2025,72.2,84
Tue Sep  2 22:30:28 2025,74.5,72
Tue Sep  2 22:30:30 2025,74.5,72
Tue Sep  2 22:36:05 2025,74.5,72
